Epoch,accuracy,loss
0,0.058781351894140200,9.032505129958650
1,0.06796827167272570,7.0659082287582300
2,0.06833425164222720,6.93023261289826
3,0.06836412847042080,6.868122736140460
4,0.06837906688451770,6.792945069158240
5,0.06837160140275960,6.758008137019660
6,0.06837160140275960,6.733738107292210
7,0.06981312483549120,6.705251492207880
8,0.07577341794967650,6.6672412526619400
9,0.08049385249614720,6.628280909518770
10,0.08201754093170170,6.591406443266390
11,0.08427318930625920,6.5576560192097600
12,0.08690975606441500,6.523063596999530
13,0.089867502450943,6.492043940032970
14,0.09204845875501630,6.463341098112870
15,0.09462527930736540,6.433365013595020
16,0.09638797491788860,6.404879576731470
17,0.09918886423110960,6.378474401843230
18,0.10100384056568100,6.347018890569760
19,0.10330430418252900,6.323630500950620
20,0.10522384941577900,6.299056074146070
21,0.10607531666755700,6.274526931044180
22,0.10764381289482100,6.247157611658590
23,0.10834590345621100,6.223831848196220
24,0.10993681102991100,6.199863891257660
25,0.11229702830314600,6.17463477984924
26,0.1139252781867980,6.148123978004980
27,0.11679339408874500,6.120437352655860
28,0.11816022545099300,6.093338280806250
29,0.12127481400966600,6.063935000388260
30,0.12355287373065900,6.035810316545480
31,0.12708573043346400,6.00457492198864
32,0.1291845291852950,5.971377540781160
33,0.13200782239437100,5.937821151375310
34,0.13444273173809100,5.908899164191990
35,0.13548092544078800,5.877361921200420
36,0.1378859579563140,5.847513386929090
37,0.14041796326637300,5.818190800624200
38,0.1416279524564740,5.788737876295980
39,0.1430993527174000,5.760530971567960
40,0.14553426206111900,5.73083877127547
41,0.14681893587112400,5.7069302391749800
42,0.14755089581012700,5.675211539283520
43,0.14869366586208300,5.648215538410860
44,0.14962729811668400,5.622998336384950
45,0.1506654918193820,5.594485414930480
46,0.15234602987766300,5.5677618322453200
47,0.15387718379497500,5.537784434197550
48,0.15389958024025000,5.513960239854940
49,0.1551767885684970,5.487780100514720
50,0.15673035383224500,5.458980756698980
51,0.15800009667873400,5.432747023848160
52,0.15912044048309300,5.406882120981260
53,0.1601586490869520,5.379870152926830
54,0.1602930873632430,5.356705657069230
55,0.16256366670131700,5.326791193698130
56,0.1629669964313510,5.306682088228610
57,0.16327323019504500,5.284719671216600
58,0.164296492934227,5.2579691083865400
59,0.16931568086147300,5.1580250084176700
60,0.17086924612522100,5.134747394681260
61,0.1710260957479480,5.111707446947090
62,0.17184022068977400,5.095008769194250
63,0.17266929149627700,5.065435958959630
64,0.1737971156835560,5.0435701410085500
65,0.1746261715888980,5.02048761070397
66,0.17547763884067500,4.997911449877880
67,0.1776212602853780,4.97951487474285
68,0.17709842324256900,4.95707740068254
69,0.1783980429172520,4.934313377697890
70,0.17915987968444800,4.913193820177930
71,0.1805192530155180,4.892296953702610
72,0.18183380365371700,4.867880059412590
73,0.1823715716600420,4.851392333149210
74,0.18290187418460800,4.830663063726920
75,0.18377575278282200,4.807382385013770
76,0.18569529056549100,4.788532992846590
77,0.18607620894908900,4.766932771946090
78,0.18709200620651200,4.748669947970710
79,0.188077911734581,4.723512995622910
80,0.18787625432014500,4.709182759601190
81,0.18921321630477900,4.688283757227630
82,0.190714493393898,4.669643585895220
83,0.19118504226207700,4.648226911279450
84,0.19247718155384100,4.631666954312
85,0.1931045800447460,4.610256830763390
86,0.19334359467029600,4.598318843221280
87,0.19578596949577300,4.575190962065220
